L_int Dose (GY),L_int Value (% of 832.318 cc),L_PostTib Dose (GY),L_PostTib Value (% of 1856.290 cc),L_kidney Dose (GY),L_kidney Value (% of 157.351 cc),R_InterIliac Dose (GY),R_InterIliac Value (% of 2572.940 cc),L_heart Dose (GY),L_heart Value (% of 166.131 cc),L_AnteriorTib Dose (GY),L_AnteriorTib Value (% of 1735.690 cc),R_Heart Dose (GY),R_Heart Value (% of 148.625 cc),Liver Dose (GY),Liver Value (% of 1800.470 cc),R_PostTib Dose (GY),R_PostTib Value (% of 1684.110 cc),R_Arm Region Dose (GY),R_Arm Region Value (% of 1077.870 cc),R_Kidney Dose (GY),R_Kidney Value (% of 155.005 cc),Stomach Dose (GY),Stomach Value (% of 282.950 cc),Brain Dose (GY),Brain Value (% of 1282.300 cc),Lung_L Dose (GY),Lung_L Value (% of 1465.800 cc),Spleen Dose (GY),Spleen Value (% of 154.291 cc),Lung_R Dose (GY),Lung_R Value (% of 1467.700 cc),R_AnteriorTib Dose (GY),R_AnteriorTib Value (% of 1756.870 cc),S_int Dose (GY),S_int Value (% of 1243.680 cc),L_InterIliac Dose (GY),L_InterIliac Value (% of 2375.710 cc),L_Arm Region Dose (GY),L_Arm Region Value (% of 1131.740 cc),L_DeepFemoral Dose (GY),L_DeepFemoral Value (% of 6266.400 cc),Pancreas Dose (GY),Pancreas Value (% of 130.466 cc),R_DeepFemoral Dose (GY),R_DeepFemoral Value (% of 6336.480 cc),
0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,
0.100000,0.000000,0.100000,72.821505,0.100000,0.000000,0.100000,0.012511,0.100000,0.000000,0.100000,80.900203,0.100000,0.000000,0.100000,0.000000,0.100000,73.599346,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,80.272618,0.100000,0.002806,0.100000,0.006775,0.100000,0.000000,0.100000,64.491467,0.100000,0.000000,0.100000,62.963229,
0.300000,0.000000,0.300000,67.906541,0.300000,0.000000,0.300000,0.000980,0.300000,0.000000,0.300000,78.289683,0.300000,0.000000,0.300000,0.000000,0.300000,68.772776,0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,77.620057,0.300000,0.002806,0.300000,0.002612,0.300000,0.000000,0.300000,58.955646,0.300000,0.000000,0.300000,57.223804,
0.500000,0.000000,0.500000,62.343923,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,74.954670,0.500000,0.000000,0.500000,0.000000,0.500000,63.118462,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,74.613423,0.500000,0.002495,0.500000,0.002367,0.500000,0.000000,0.500000,53.748113,0.500000,0.000000,0.500000,52.077903,
0.700000,0.000000,0.700000,54.925462,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,70.426172,0.700000,0.000000,0.700000,0.000000,0.700000,55.180339,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,70.784080,0.700000,0.002495,0.700000,0.002285,0.700000,0.000000,0.700000,46.872936,0.700000,0.000000,0.700000,45.629216,
0.900000,0.000000,0.900000,25.449153,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,56.039991,0.900000,0.000000,0.900000,0.000000,0.900000,25.270206,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,57.558249,0.900000,0.002495,0.900000,0.002285,0.900000,0.000000,0.900000,31.523048,0.900000,0.000000,0.900000,31.179987,
1.100000,0.000000,1.100000,2.819385,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,26.572965,1.100000,0.000000,1.100000,0.000000,1.100000,2.998371,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,28.715385,1.100000,0.002495,1.100000,0.002285,1.100000,0.000000,1.100000,14.985181,1.100000,0.000000,1.100000,15.442752,
1.300000,0.000000,1.300000,0.045858,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.054183,1.300000,0.000000,1.300000,0.000000,1.300000,0.101324,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.109158,1.300000,0.002495,1.300000,0.002285,1.300000,0.000000,1.300000,1.062190,1.300000,0.000000,1.300000,1.731305,
1.500000,0.000000,1.500000,0.006477,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.007597,1.500000,0.000000,1.500000,0.000000,1.500000,0.017616,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.014238,1.500000,0.001247,1.500000,0.001388,1.500000,0.000000,1.500000,0.007458,1.500000,0.000000,1.500000,0.015270,
1.700000,0.000000,1.700000,0.000418,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000670,1.700000,0.000000,1.700000,0.000000,1.700000,0.003915,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.001766,1.700000,0.001247,1.700000,0.001306,1.700000,0.000000,1.700000,0.000959,1.700000,0.000000,1.700000,0.002142,
1.900000,0.000000,1.900000,0.000209,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000345,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000883,1.900000,0.001247,1.900000,0.001306,1.900000,0.000000,1.900000,0.000340,1.900000,0.000000,1.900000,0.000092,
2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000441,2.100000,0.001247,2.100000,0.001306,2.100000,0.000000,2.100000,0.000124,2.100000,0.000000,2.100000,0.000000,
2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.001247,2.300000,0.001306,2.300000,0.000000,2.300000,0.000031,2.300000,0.000000,2.300000,0.000000,
2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.001247,2.500000,0.001306,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,
2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.001247,2.700000,0.001306,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,
2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.001247,2.900000,0.001306,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,
3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.001247,3.100000,0.001306,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,
3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.001247,3.300000,0.001306,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,
3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.001247,3.500000,0.001306,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,
3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.001247,3.700000,0.001306,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,
3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.001247,3.900000,0.001306,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,
4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000156,4.100000,0.000571,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,
4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000156,4.300000,0.000326,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,
