L_heart Dose (Gy),L_heart Value (% of 165.252 cc),Lung_R Dose (Gy),Lung_R Value (% of 1462.670 cc),Stomach Dose (Gy),Stomach Value (% of 282.426 cc),R_DeepFemoral Dose (Gy),R_DeepFemoral Value (% of 6327.210 cc),R_Kidney Dose (Gy),R_Kidney Value (% of 153.867 cc),L_AnteriorTib Dose (Gy),L_AnteriorTib Value (% of 1734.620 cc),Lung_L Dose (Gy),Lung_L Value (% of 1460.820 cc),R_InterIliac Dose (Gy),R_InterIliac Value (% of 2566.170 cc),Liver Dose (Gy),Liver Value (% of 1795.660 cc),Spleen Dose (Gy),Spleen Value (% of 153.090 cc),R_Heart Dose (Gy),R_Heart Value (% of 147.662 cc),S_int Dose (Gy),S_int Value (% of 1231.790 cc),Pancreas Dose (Gy),Pancreas Value (% of 129.320 cc),R_Arm Region Dose (Gy),R_Arm Region Value (% of 1074.610 cc),L_PostTib Dose (Gy),L_PostTib Value (% of 1853.340 cc),Brain Dose (Gy),Brain Value (% of 1276.600 cc),L_Arm Region Dose (Gy),L_Arm Region Value (% of 1127.230 cc),R_AnteriorTib Dose (Gy),R_AnteriorTib Value (% of 1752.930 cc),L_kidney Dose (Gy),L_kidney Value (% of 156.316 cc),L_InterIliac Dose (Gy),L_InterIliac Value (% of 2372.120 cc),L_int Dose (Gy),L_int Value (% of 825.443 cc),R_PostTib Dose (Gy),R_PostTib Value (% of 1681.970 cc),L_DeepFemoral Dose (Gy),L_DeepFemoral Value (% of 6255.930 cc),
0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,
0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,31.365487,0.100000,0.000000,0.100000,98.523179,0.100000,0.000000,0.100000,0.817351,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,0.000000,0.100000,100.000000,0.100000,0.000000,0.100000,0.187128,0.100000,98.971367,0.100000,0.000000,0.100000,0.462815,0.100000,0.000000,0.100000,99.486511,0.100000,18.424531,
0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,15.209265,0.300000,0.000000,0.300000,92.100990,0.300000,0.000000,0.300000,0.013015,0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,0.000000,0.300000,100.000000,0.300000,0.000000,0.300000,0.007797,0.300000,95.508534,0.300000,0.000000,0.300000,0.020502,0.300000,0.000000,0.300000,98.481597,0.300000,6.623595,
0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,8.191523,0.500000,0.000000,0.500000,83.990524,0.500000,0.000000,0.500000,0.000989,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,99.996628,0.500000,0.000000,0.500000,0.000693,0.500000,90.024089,0.500000,0.000000,0.500000,0.008481,0.500000,0.000000,0.500000,96.787851,0.500000,3.102434,
0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,4.299016,0.700000,0.000000,0.700000,75.860578,0.700000,0.000000,0.700000,0.000228,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,99.918433,0.700000,0.000000,0.700000,0.000000,0.700000,82.090179,0.700000,0.000000,0.700000,0.002223,0.700000,0.000000,0.700000,94.132736,0.700000,1.776129,
0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,2.208621,0.900000,0.000000,0.900000,68.843427,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,99.462224,0.900000,0.000000,0.900000,0.000000,0.900000,72.212541,0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,90.269959,0.900000,1.179070,
1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,1.248452,1.100000,0.000000,1.100000,63.440015,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,98.141970,1.100000,0.000000,1.100000,0.000000,1.100000,61.569668,1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,85.113358,1.100000,0.817725,
1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.805487,1.300000,0.000000,1.300000,59.598547,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,96.004460,1.300000,0.000000,1.300000,0.000000,1.300000,51.746737,1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,78.895639,1.300000,0.552195,
1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.547672,1.500000,0.000000,1.500000,56.828101,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,93.640479,1.500000,0.000000,1.500000,0.000000,1.500000,43.309319,1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,72.375309,1.500000,0.363499,
1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.375054,1.700000,0.000000,1.700000,54.562764,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,91.321182,1.700000,0.000000,1.700000,0.000000,1.700000,36.303206,1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,65.770094,1.700000,0.230188,
